,Symbol,Name,Exchange,Sector,industry,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,Buy,Sell,Hold,Previous_Earnings_Date,Expected,Actual,Surprise,Future Earnings Date,daysSinceLastDividend,BBP,Exponential Moving Average,day1,day2,day3,day4,close on day 0,close on day 1,close on day 2,close on day 3,close on day 4
1274,MAYS,"J. W. Mays, Inc.",Nasdaq,Consumer Services,Building operators,,0.0,0,0.0,0.0,0.0,0.0,2020-06-03,-,-,-,,0.0,1.35909868695465,0.6417470818888739,1.0,1.0,1.0,1.0,22.25,22.25,22.25,22.290000915527344,22.5
1275,JBHT,"J.B. Hunt Transport Services, Inc.",Nasdaq,Transportation,Trucking Freight/Courier Services,1.08,1596672000.0,0,0.0,3.0,1.0,2.0,2020-07-15,0.83,1.14,+37.02,2020-10-13,-22.0,1.2047511141131515,1.0509618304666666,0.0,1.0,0.0,1.0,125.65214538574219,124.74400329589844,127.37860107421875,125.3926773071289,128.42645263671875
1276,JKHY,"Jack Henry & Associates, Inc.",Nasdaq,Technology,EDP Services,1.72,1599523200.0,0,0.0,0.0,0.0,1.0,2020-08-17,0.78,0.8,+2.04,2020-11-02,-22.0,0.6788306663647481,1.2020006120601214,0.0,1.0,1.0,1.0,183.29568481445312,182.39805603027344,187.36492919921875,191.4740753173828,193.84780883789062
1277,JAMF,Jamf Holding Corp.,Nasdaq,Technology,Computer Software: Prepackaged Software,,0.0,0,0.0,,,,2020-08-31,0.07,0.05,-28.57,,0.0,-0.06784387583966542,,0.0,1.0,0.0,0.0,39.150001525878906,38.540000915527344,39.33000183105469,37.79999923706055,37.54999923706055
1278,JBLU,JetBlue Airways Corporation,Nasdaq,Transportation,Air Freight/Delivery Services,,0.0,0,0.0,0.0,1.0,1.0,2020-07-27,-1.92,-2.02,-5.21,2020-10-20,0.0,-0.2254646524004898,0.5542639534872215,1.0,1.0,1.0,0.0,10.529999732971191,10.569999694824219,10.619999885559082,10.710000038146973,10.289999961853027
1279,JCTCF,Jewett-Cameron Trading Company,Nasdaq,Consumer Services,RETAIL: Building Materials,,0.0,0,0.0,0.0,0.0,0.0,2020-07-14,-,-,-,,0.0,-0.21447046756526073,0.8529731974786738,0.0,0.0,0.0,0.0,6.710000038146973,6.699999809265137,6.5,6.699999809265137,6.440000057220459
1280,JFIN,Jiayin Group Inc.,Nasdaq,Finance,Finance: Consumer Services,,0.0,0,0.0,0.0,0.0,0.0,2020-09-01,0.59,0.76,+28.81,,0.0,0.365038142113435,0.4884324831560878,0.0,0.0,1.0,1.0,3.5999999046325684,3.490000009536743,3.4000000953674316,3.759999990463257,4.099999904632568
1281,JBSS,"John B. Sanfilippo & Son, Inc.",Nasdaq,Consumer Non-Durables,Specialty Foods,0.65,1596672000.0,0,0.0,0.0,0.0,0.0,2020-08-20,0.91,0.89,-2.2,,14.0,0.6750715787599656,0.9362728073513421,0.0,0.0,1.0,1.0,90.01000213623047,89.29000091552734,89.55999755859375,90.33000183105469,90.13999938964844
1282,KALU,Kaiser Aluminum Corporation,Nasdaq,Capital Goods,Metal Fabrications,2.68,1595462400.0,0,0.0,0.0,0.0,0.0,2020-07-21,0.22,0.36,+65.9,2020-10-21,-2.0,-0.5650820174583467,0.6525988405543801,1.0,1.0,1.0,1.0,67.06966400146484,68.61514282226562,69.1203842163086,67.93156433105469,67.53528594970703
1283,KLDO,"Kaleido Biosciences, Inc.",Nasdaq,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,0.0,0,0.0,0.0,0.0,1.0,2020-08-03,-0.59,-0.59,-,2020-10-28,0.0,-0.48941964772622504,0.7601224535335601,0.0,0.0,0.0,0.0,6.199999809265137,6.03000020980835,6.0,6.050000190734863,5.96999979019165
1284,KALV,"KalVista Pharmaceuticals, Inc.",Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-06-30,-0.65,-0.37,+43.25,2020-12-01,0.0,1.2483898781847926,0.8020258203377642,0.0,0.0,0.0,0.0,12.895000457763672,11.270000457763672,11.8100004196167,12.449999809265137,12.65999984741211
1285,KNDI,"Kandi Technologies Group, Inc.",Nasdaq,Capital Goods,Auto Manufacturing,,0.0,0,0.0,0.0,0.0,0.0,2020-06-05,-,-,-,,0.0,-0.3702121393942624,0.6677148837005495,1.0,1.0,1.0,1.0,3.0899999141693115,3.25,3.2100000381469727,3.440000057220459,3.569999933242798
1286,KEQU,Kewaunee Scientific Corporation,Nasdaq,Capital Goods,Medical Specialities,,1567987200.0,0,0.0,0.0,0.0,0.0,2020-09-07,-,-,-,,364.0,-0.6251607976213083,0.5787129842170547,1.0,1.0,1.0,1.0,8.979999542236328,9.0,9.09000015258789,9.579999923706055,9.050000190734863
1287,KE,"Kimball Electronics, Inc.",Nasdaq,Technology,Electrical Products,,0.0,0,0.0,0.0,0.0,0.0,2020-08-19,0.2,0.34,+70,,0.0,0.9311868798819701,0.7888825177696592,0.0,0.0,0.0,0.0,14.430000305175781,14.069999694824219,13.899999618530273,14.0600004196167,14.0
1288,KC,Kingsoft Cloud Holdings Limited,Nasdaq,Technology,Computer Software: Prepackaged Software,,0.0,0,0.0,0.0,0.0,0.0,2020-08-17,-1.3,-1.61,-23.56,,0.0,-0.272085985717374,,0.0,0.0,0.0,0.0,33.0099983215332,32.0,32.36000061035156,32.86000061035156,32.15999984741211
1289,KTRA,"Kintara Therapeutics, Inc.",Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-09-15,-0.13,-,-,2020-11-12,0.0,,,1.0,1.0,1.0,1.0,1.3600000143051147,1.5,1.5499999523162842,1.600000023841858,1.6200000047683716
1290,KIRK,"Kirkland&#39;s, Inc.",Nasdaq,Consumer Services,Other Specialty Stores,,1433289600.0,0,0.0,0.0,0.0,0.0,2020-09-02,-,-0.66,-,2020-12-03,1918.0,-0.029973136808522313,4.993162582831353,0.0,0.0,1.0,1.0,7.820000171661377,6.849999904632568,7.599999904632568,8.670000076293945,9.449999809265137
1291,KLXE,"KLX Energy Services Holdings, Inc. ",Nasdaq,Energy,Oilfield Services/Equipment,,0.0,1,0.2,0.0,0.0,0.0,2020-09-02,-2.55,2.08,+181.57,2020-12-03,0.0,-0.6854548085691113,0.32160471688329606,0.0,0.0,0.0,0.0,8.479999542236328,8.130000114440918,8.319999694824219,7.860000133514404,7.900000095367432
1292,KOSS,Koss Corporation,Nasdaq,Consumer Non-Durables,Consumer Electronics/Appliances,,1395878400.0,0,0.0,0.0,0.0,0.0,2020-08-20,-,-,-,,2338.0,0.20289343824824274,1.3829884348357928,0.0,1.0,1.0,1.0,2.0899999141693115,2.0399999618530273,2.0999999046325684,2.3499999046325684,2.1700000762939453
1293,KLIC,"Kulicke and Soffa Industries, Inc.",Nasdaq,Technology,Semiconductors,0.48,1600905600.0,0,0.0,1.0,0.0,0.0,2020-07-28,0.14,0.21,+50,2020-11-12,-58.0,0.9449322834014249,0.9143471536061558,1.0,1.0,0.0,1.0,23.940000534057617,24.25,24.209999084472656,23.43000030517578,25.40999984741211
1294,KRUS,"Kura Sushi USA, Inc.",Nasdaq,Consumer Services,Restaurants,,0.0,0,0.0,1.0,0.0,1.0,2020-07-13,-0.8,-1.1,-37.5,,0.0,-0.43953625139289265,0.5924826360077167,0.0,0.0,0.0,0.0,14.489999771118164,13.390000343322754,13.6899995803833,12.890000343322754,12.100000381469727
1295,FSTR,L.B. Foster Company,Nasdaq,Basic Industries,Metal Fabrications,,1473206400.0,0,0.0,1.0,0.0,0.0,2020-08-03,-0.07,0.05,+171.43,,1426.0,0.5758628539750278,0.6796726305717229,1.0,1.0,1.0,1.0,13.5,13.529999732971191,14.140000343322754,14.199999809265137,14.0600004196167
1296,LSBK,"Lake Shore Bancorp, Inc.",Nasdaq,Finance,Savings Institutions,0.48,1596585600.0,0,0.0,0.0,0.0,0.0,2020-07-27,-,-,-,,-9.0,-0.6961803779504261,0.8335003281680083,1.0,1.0,1.0,1.0,11.785056114196777,11.785056114196777,12.091546058654785,12.091546058654785,11.814716339111328
1297,LBAI,"Lakeland Bancorp, Inc.",Nasdaq,Finance,Major Banks,0.5,1596153600.0,0,0.0,2.0,0.0,0.0,2020-07-22,0.26,0.23,-12.55,2020-10-22,-9.0,0.34031125327911926,0.658888621582239,0.0,0.0,0.0,0.0,10.788116455078125,10.699203491210938,10.442342758178711,10.126208305358887,10.738719940185547
1298,LAKE,"Lakeland Industries, Inc.",Nasdaq,Health Care,Industrial Specialties,,0.0,0,0.0,0.0,0.0,0.0,2020-09-08,0.32,1.16,+262.5,,0.0,-0.5215050903699057,2.08763278877764,1.0,1.0,1.0,1.0,21.0,21.34000015258789,21.229999542236328,21.25,21.729999542236328
1299,LAMR,Lamar Advertising Company,Nasdaq,Consumer Services,Real Estate Investment Trusts,2.0,1600387200.0,0,0.0,0.0,0.0,2.0,2020-08-05,0.38,0.31,-18.85,2020-11-03,-44.0,0.5752771679660437,0.8180179447103118,0.0,0.0,0.0,0.0,67.08999633789062,66.36000061035156,65.7300033569336,66.37999725341797,66.55000305175781
