,Symbol,Name,Exchange,Sector,industry,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,Buy,Sell,Hold,Previous_Earnings_Date,Expected,Actual,Surprise,Future Earnings Date,daysSinceLastDividend
717,AIRTP,"Air T, Inc.",Nasdaq,Transportation,Air Freight/Delivery Services,2.0,1581552000.0,0,0.0,0.0,0.0,0.0,2020-08-13,-,-,-,2020-11-10,182.0
718,ATSG,"Air Transport Services Group, Inc",Nasdaq,Transportation,Air Freight/Delivery Services,,0.0,0,0.0,0.0,0.0,0.0,2020-08-04,0.29,0.47,+59.86,,0.0
719,AIRG,"Airgain, Inc.",Nasdaq,Technology,Radio And Television Broadcasting And Communications Equipment,,0.0,0,0.0,1.0,0.0,0.0,2020-08-05,-0.08,0.02,+123.53,,0.0
720,AKAM,"Akamai Technologies, Inc.",Nasdaq,Miscellaneous,Business Services,,0.0,0,0.0,4.0,0.0,1.0,2020-07-27,1.21,1.38,+13.67,2020-10-26,0.0
721,AKTX,Akari Therapeutics Plc,Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-08-31,-,-,-,,0.0
722,AKCA,"Akcea Therapeutics, Inc.",Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-08-03,-0.35,-0.49,-38.42,2020-11-03,0.0
723,AKRO,"Akero Therapeutics, Inc.",Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-08-11,-0.62,-0.57,+8.06,,0.0
724,AKER,Akers Biosciences Inc.,Nasdaq,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,0.0,0,0.0,0.0,0.0,0.0,2020-08-14,-,-,-,2020-11-12,0.0
725,AKUS,"Akouos, Inc.",Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-08-12,-10.34,-11.14,-7.74,,0.0
726,AKTS,"Akoustis Technologies, Inc.",Nasdaq,Public Utilities,Telecommunications Equipment,,0.0,0,0.0,0.0,0.0,0.0,2020-08-24,-0.22,-0.27,-22.73,,0.0
727,ALRM,"Alarm.com Holdings, Inc.",Nasdaq,Technology,Computer Software: Prepackaged Software,,0.0,0,0.0,1.0,0.0,0.0,2020-08-04,0.31,0.41,+33.12,2020-11-03,0.0
728,ALSK,"Alaska Communications Systems Group, Inc.",Nasdaq,Public Utilities,Telecommunications Equipment,,1587081600.0,0,0.0,0.0,0.0,0.0,2020-08-05,-,-,-,2020-11-04,110.0
729,ALBO,"Albireo Pharma, Inc.",Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-08-05,-1.69,-1.38,+18.29,,0.0
730,ALDX,"Aldeyra Therapeutics, Inc.",Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-08-05,-0.34,-0.25,+26.69,,0.0
731,ALEC,"Alector, Inc.",Nasdaq,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,0.0,0,0.0,2.0,0.0,0.0,2020-08-10,-0.49,-0.58,-17.41,2020-11-10,0.0
732,ALRS,Alerus Financial Corporation,Nasdaq,Finance,Major Banks,0.6,1600300800.0,0,0.0,0.0,0.0,1.0,2020-07-27,0.31,0.65,+107.67,,-52.0
733,ALXN,"Alexion Pharmaceuticals, Inc.",Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,6.0,0.0,1.0,2020-07-29,2.59,3.11,+20.08,2020-10-21,0.0
734,ALCO,"Alico, Inc.",Nasdaq,Consumer Non-Durables,Farming/Seeds/Milling,0.36,1593043200.0,0,0.0,0.0,0.0,0.0,2020-08-05,-,-,-,2020-12-03,41.0
735,ALGN,"Align Technology, Inc.",Nasdaq,Health Care,Industrial Specialties,,0.0,0,0.0,2.0,1.0,1.0,2020-07-21,-0.05,-0.35,-629.17,2020-10-21,0.0
736,ALIM,"Alimera Sciences, Inc.",Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-07-28,-1.61,-0.51,+68.42,2020-10-27,0.0
737,ALYA,Alithya Group inc.,Nasdaq,Technology,"Computer Software: Programming, Data Processing",,0.0,0,0.0,0.0,0.0,0.0,2020-08-12,-,-,-,,0.0
738,ALJJ,"ALJ Regional Holdings, Inc.",Nasdaq,Miscellaneous,Business Services,,0.0,0,0.0,0.0,0.0,0.0,2020-08-12,-,-,-,,0.0
739,ALKS,Alkermes plc,Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,1.0,2020-07-28,-0.01,0.06,+600,2020-10-21,0.0
740,ABTX,"Allegiance Bancshares, Inc.",Nasdaq,Finance,Major Banks,0.4,1598572800.0,0,0.0,0.0,0.0,1.0,2020-07-29,0.24,0.48,+97.53,,-30.0
741,ALGT,Allegiant Travel Company,Nasdaq,Transportation,Air Freight/Delivery Services,,1582848000.0,0,0.0,4.0,0.0,1.0,2020-07-28,-5.01,-5.96,-18.99,2020-10-22,151.0
742,ALNA,"Allena Pharmaceuticals, Inc.",Nasdaq,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,0.0,0,0.0,0.0,0.0,0.0,2020-08-04,-0.3,-0.26,+13.04,,0.0
743,LNT,Alliant Energy Corporation,Nasdaq,Public Utilities,Power Generation,1.52,1596067200.0,0,0.0,1.0,0.0,0.0,2020-08-05,0.46,0.54,+16.63,2020-11-04,6.0
744,AMOT,"Allied Motion Technologies, Inc.",Nasdaq,Capital Goods,Electrical Products,0.12,1597795200.0,0,0.0,0.0,0.0,0.0,2020-08-06,0.05,0.32,+540,,-13.0
745,ALLO,"Allogene Therapeutics, Inc.",Nasdaq,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,0.0,0,0.0,7.0,0.0,2.0,2020-08-04,-0.54,-0.53,+2.03,2020-11-03,0.0
746,ALLT,Allot Ltd.,Nasdaq,Technology,Computer Communications Equipment,,0.0,0,0.0,0.0,0.0,0.0,2020-08-03,-0.03,-0.07,-133.33,2020-11-03,0.0
747,ALVR,"AlloVir, Inc.",Nasdaq,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,0.0,0,0.0,0.0,0.0,0.0,2020-09-01,-,-,-,,0.0
