"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"SWZ","Swiss Helvetia Fund, Inc. (The)","8.4","$111.4M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/swz"
"SWCH","Switch, Inc.","16.77","$4.03B","2017","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/swch"
"SBE","Switchback Energy Acquisition Corporation","10.25","$402.46M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/sbe"
"SBE.U","Switchback Energy Acquisition Corporation","n/a","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/sbe.u"
"SBE.WS","Switchback Energy Acquisition Corporation","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sbe.ws"
"SYF","Synchrony Financial","24.82","$14.49B","2014","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/syf"
"SYF^A","Synchrony Financial","24.39","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/syf^a"
"SNX","Synnex Corporation","133.27","$6.86B","2003","Technology","Retail: Computer Software & Peripheral Equipment","https://old.nasdaq.com/symbol/snx"
"SNV","Synovus Financial Corp.","22.15","$3.26B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/snv"
"SNV^D","Synovus Financial Corp.","26.45","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/snv^d"
"SNV^E","Synovus Financial Corp.","25.29","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/snv^e"
"GJP","Synthetic Fixed-Income Securities, Inc.","23.51","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gjp"
"GJR","Synthetic Fixed-Income Securities, Inc.","21.79","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gjr"
"GJT","Synthetic Fixed-Income Securities, Inc.","19.75","n/a","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/gjt"
"SYY","Sysco Corporation","60.84","$30.94B","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/syy"
"SYX","Systemax Inc.","22.96","$860.65M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/syx"
"TWN","Taiwan Fund, Inc. (The)","24.08","$180.14M","1986","n/a","n/a","https://old.nasdaq.com/symbol/twn"
"TSM","Taiwan Semiconductor Manufacturing Company Ltd.","82.17","$426.14B","1997","Technology","Semiconductors","https://old.nasdaq.com/symbol/tsm"
"TAK","Takeda Pharmaceutical Company Limited","18.58","$58.58B","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tak"
"TAL","TAL Education Group","79.81","$47.92B","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/tal"
"TALO","Talos Energy, Inc.","6.89","$503.08M","2018","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/talo"
"SKT","Tanger Factory Outlet Centers, Inc.","5.67","$529.99M","1993","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/skt"
"TPR","Tapestry, Inc.","14.73","$4.07B","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/tpr"
"NGLS^A","Targa Resources Partners LP","24.2","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ngls^a"
"TRGP","Targa Resources, Inc.","16.99","$3.96B","2010","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/trgp"
"TGT","Target Corporation","149.84","$74.96B","n/a","Consumer Services","Department/Specialty Retail Stores","https://old.nasdaq.com/symbol/tgt"
"TARO","Taro Pharmaceutical Industries Ltd.","59","$2.26B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/taro"
"TTM","Tata Motors Ltd","10.1","$7.27B","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/ttm"
"TCO","Taubman Centers, Inc.","38.19","$2.36B","1992","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/tco"
"TCO^J","Taubman Centers, Inc.","21.1504","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tco^j"
"TCO^K","Taubman Centers, Inc.","21.28","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tco^k"
"TMHC","Taylor Morrison Home Corporation","24.85","$3.22B","2013","Capital Goods","Homebuilding","https://old.nasdaq.com/symbol/tmhc"
"TRP","TC Energy Corporation","46.81","$44B","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/trp"
"TCP","TC PipeLines, LP","30","$2.14B","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/tcp"
"TSI","TCW Strategic Income Fund, Inc.","5.735","$273.82M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tsi"
"TEL","TE Connectivity Ltd.","100.64","$33.22B","n/a","Technology","Electronic Components","https://old.nasdaq.com/symbol/tel"
"TISI","Team, Inc.","6.71","$205.51M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/tisi"
"FTI","TechnipFMC plc","7.56","$3.4B","n/a","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/fti"
"TECK","Teck Resources Ltd","11.94","$6.34B","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/teck"
"TK","Teekay Corporation","2.44","$246.7M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/tk"
"TGP","Teekay LNG Partners L.P.","10.97","$953.29M","2005","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/tgp"
"TGP^A","Teekay LNG Partners L.P.","24.99","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tgp^a"
"TGP^B","Teekay LNG Partners L.P.","23.82","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tgp^b"
"TNK","Teekay Tankers Ltd.","11.63","$392.37M","2007","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/tnk"
"TGNA","TEGNA Inc.","12.37","$2.71B","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/tgna"
"TRC","Tejon Ranch Co","14.26","$374.03M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/trc"
"HQH","Tekla Healthcare Investors","21.1","$909.05M","1987","n/a","n/a","https://old.nasdaq.com/symbol/hqh"
"THQ","Tekla Healthcare Opportunies Fund","18.71","$773.48M","2014","n/a","n/a","https://old.nasdaq.com/symbol/thq"
"HQL","Tekla Life Sciences Investors","17.77","$417.5M","1992","n/a","n/a","https://old.nasdaq.com/symbol/hql"
"THW","Tekla World Healthcare Fund","14.82","$446.12M","2015","n/a","n/a","https://old.nasdaq.com/symbol/thw"
"TDOC","Teladoc Health, Inc.","223.15","$18.22B","2015","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/tdoc"
"TEO","Telecom Argentina Stet - France Telecom S.A.","6.99","$3.01B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/teo"
"TDY","Teledyne Technologies Incorporated","322.8","$11.9B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/tdy"
"TFX","Teleflex Incorporated","408.18","$18.99B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/tfx"
"VIV","Telefonica Brasil S.A.","8.93","$15.08B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/viv"
"TEF","Telefonica SA","3.85","$20.22B","1988","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tef"
"TDA","Telephone and Data Systems, Inc.","25.02","n/a","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tda"
"TDE","Telephone and Data Systems, Inc.","25.2909","n/a","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tde"
"TDI","Telephone and Data Systems, Inc.","25.77","n/a","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tdi"
"TDJ","Telephone and Data Systems, Inc.","25.86","n/a","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tdj"
"TDS","Telephone and Data Systems, Inc.","23.35","$2.67B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tds"
"TU","TELUS Corporation","18.84","$24.19B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tu"
"TDF","Templeton Dragon Fund, Inc.","25.24","$853.22M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tdf"
"EMF","Templeton Emerging Markets Fund","15.55","$257.35M","1987","n/a","n/a","https://old.nasdaq.com/symbol/emf"
"TEI","Templeton Emerging Markets Income Fund, Inc.","7.57","$363.35M","1993","n/a","n/a","https://old.nasdaq.com/symbol/tei"
"GIM","Templeton Global Income Fund, Inc.","5.39","$723.04M","1988","n/a","n/a","https://old.nasdaq.com/symbol/gim"
"TPX","Tempur Sealy International, Inc.","88.72","$4.57B","2003","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/tpx"
"TS","Tenaris S.A.","11.35","$6.7B","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/ts"
"TME","Tencent Music Entertainment Group","15.9","$26.67B","2018","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/tme"
"THC","Tenet Healthcare Corporation","29.23","$3.08B","n/a","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/thc"
"TNC","Tennant Company","68.96","$1.27B","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/tnc"
"TEN","Tenneco Inc.","8.94","$726.48M","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/ten"
"TVC","Tennessee Valley Authority","26.05","n/a","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/tvc"
"TVE","Tennessee Valley Authority","26.0367","n/a","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/tve"
"TDC","Teradata Corporation","23.95","$2.61B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/tdc"
"TEX","Terex Corporation","19.9","$1.38B","n/a","Capital Goods","Construction/Ag Equipment/Trucks","https://old.nasdaq.com/symbol/tex"
"TX","Ternium S.A.","18.88","$3.71B","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/tx"
"TRNO","Terreno Realty Corporation","60.47","$4.13B","2010","Finance","Real Estate","https://old.nasdaq.com/symbol/trno"
"TTI","Tetra Technologies, Inc.","0.594","$74.75M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tti"
"TEVA","Teva Pharmaceutical Industries Limited","9.4","$10.3B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/teva"
"TPL","Texas Pacific Land Trust","537.8","$4.17B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tpl"
"TGH","Textainer Group Holdings Limited","12.06","$642.79M","2007","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/tgh"
"TXT","Textron Inc.","40.61","$9.26B","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/txt"
"TFII","TFI International Inc.","45.21","$4.22B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tfii"
"AES","The AES Corporation","18.18","$12.09B","n/a","Basic Industries","Electric Utilities: Central","https://old.nasdaq.com/symbol/aes"
"AZEK","The AZEK Company Inc.","40.76","$6.3B","2020","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/azek"
"BK","The Bank Of New York Mellon Corporation ","37.67","$33.37B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bk"
"BK^C","The Bank Of New York Mellon Corporation ","25.82","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bk^c"
"BX","The Blackstone Group Inc.","54.46","$37.67B","2007","Finance","Investment Managers","https://old.nasdaq.com/symbol/bx"
"CEE","The Central and Eastern Europe Fund, Inc.","21.3773","$143.35M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cee"
"SCHW","The Charles Schwab Corporation","35.97","$46.35B","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/schw"
"SCHW^C","The Charles Schwab Corporation","25.46","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/schw^c"
"SCHW^D","The Charles Schwab Corporation","25.97","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/schw^d"
"COO","The Cooper Companies, Inc. ","317.21","$16.92B","n/a","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/coo"
"GDV","The Gabelli Dividend & Income Trust","19.71","$1.79B","2003","n/a","n/a","https://old.nasdaq.com/symbol/gdv"
"GDV^A","The Gabelli Dividend & Income Trust","25.355","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gdv^a"
"GDV^G","The Gabelli Dividend & Income Trust","26.4881","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gdv^g"
"GDV^H","The Gabelli Dividend & Income Trust","26.75","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gdv^h"
"GRX","The Gabelli Healthcare & Wellness Trust","10.92","$198.2M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/grx"
"GRX^B","The Gabelli Healthcare & Wellness Trust","26.125","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/grx^b"
"GDL","The GDL Fund","8.49","$131.34M","2007","n/a","n/a","https://old.nasdaq.com/symbol/gdl"
"GDL^C","The GDL Fund","51.59","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gdl^c"
"THG","The Hanover Insurance Group, Inc.","102.49","$3.87B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/thg"
"THGA","The Hanover Insurance Group, Inc.","25.35","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/thga"
"TRV","The Travelers Companies, Inc.","117.48","$29.74B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/trv"
"TMO","Thermo Fisher Scientific Inc","441.06","$174.48B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/tmo"
"THR","Thermon Group Holdings, Inc.","13.28","$440.48M","2011","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/thr"
"TPRE","Third Point Reinsurance Ltd.","8.72","$827.97M","2013","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/tpre"
"TRI","Thomson Reuters Corp","79.19","$39.32B","n/a","Consumer Services","Publishing","https://old.nasdaq.com/symbol/tri"
"THO","Thor Industries, Inc.","96.55","$5.33B","n/a","Consumer Non-Durables","Homebuilding","https://old.nasdaq.com/symbol/tho"
