,Symbol,Name,Exchange,Sector,industry,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,Buy,Sell,Hold,Previous_Earnings_Date,Expected,Actual,Surprise,Future Earnings Date
61,PINE,"Alpine Income Property Trust, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,0.8,1600041600,,,0,0,0,2020-07-21,-,0.03,-,
62,ALTG,Alta Equipment Group Inc.,NYSE,Capital Goods,Industrial Machinery/Components,,,,,1,0,0,2020-08-12,-0.09,-0.14,-47.37,
63,AYX,"Alteryx, Inc.",NYSE,Technology,Computer Software: Prepackaged Software,,,,,6,0,0,2020-08-05,-0.14,0.02,+114.29,2020-10-29
64,ATUS,"Altice USA, Inc.",NYSE,Consumer Services,Television Services,,1528329600,,,1,0,2,2020-07-29,0.15,0.19,+24.18,2020-11-03
65,MO,Altria Group,NYSE,Consumer Non-Durables,Farming/Seeds/Milling,3.44,1600041600,,,2,0,2,2020-07-27,1.06,1.09,+3.12,2020-10-30
66,AMBC,"Ambac Financial Group, Inc.",NYSE,Finance,Property-Casualty Insurers,,,,,0,0,0,2020-08-05,-0.61,-0.52,+15.17,2020-11-04
67,AMBC,"Ambac Financial Group, Inc.",Nasdaq,Finance,Property-Casualty Insurers,,,,,0,0,0,2020-08-05,-0.61,-0.52,+15.17,2020-11-04
68,ABEV,Ambev S.A.,NYSE,Consumer Non-Durables,Beverages (Production/Distribution),0.12,1576800000,,,0,0,0,2020-07-30,0.01,0.02,+45.45,
69,AMC,"AMC Entertainment Holdings, Inc.",NYSE,Consumer Services,Movies/Entertainment,0.12,1583452800,,,0,2,4,2020-08-05,-4.31,-5.38,-24.8,2020-11-05
70,AMCR,Amcor plc,NYSE,Consumer Durables,Miscellaneous manufacturing industries,0.46,1599004800,,,0,0,0,2020-08-17,0.19,0.19,-1.04,
71,AEE,Ameren Corporation,NYSE,Public Utilities,Power Generation,1.98,1599523200,,,2,0,2,2020-08-05,0.87,0.98,+12.13,2020-11-04
72,AMX,"America Movil, S.A.B. de C.V.",NYSE,Public Utilities,Telecommunications Equipment,0.34,1592352000,,,1,0,0,2020-07-13,0.32,0.26,-18.24,
73,AAT,"American Assets Trust, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,1,1599609600,,,2,0,1,2020-07-27,0.11,0.13,+18.18,2020-10-27
74,AXL,"American Axle & Manufacturing Holdings, Inc.",NYSE,Capital Goods,Auto Parts:O.E.M.,,1228348800,,,0,0,2,2020-07-30,-1.98,-1.79,+9.69,2020-10-30
75,AEO,"American Eagle Outfitters, Inc.",NYSE,Consumer Services,Clothing/Shoe/Accessory Stores,0.14,1617840000,,,2,0,0,2020-09-08,-0.16,-0.03,+81.01,2020-12-09
76,AEP,"American Electric Power Company, Inc.",NYSE,Public Utilities,Electric Utilities: Central,2.8,1596758400,,,4,0,0,2020-08-05,1.06,1.08,+1.79,2020-10-22
77,AEL,American Equity Investment Life Holding Company,NYSE,Finance,Life Insurance,0.3,1575244800,,,0,0,2,2020-08-04,1.16,1.01,-12.86,2020-11-04
78,AXP,American Express Company,NYSE,Finance,Finance: Consumer Services,1.72,1593561600,,,4,2,6,2020-07-23,-0.11,0.29,+354.39,2020-10-16
79,AFG,"American Financial Group, Inc.",NYSE,Finance,Property-Casualty Insurers,2,1594684800,,,0,0,1,2020-08-03,1.44,1.05,-26.93,2020-10-27
80,AFGD,"American Financial Group, Inc.",NYSE,Finance,Property-Casualty Insurers,,,,,0,0,0,2020-08-03,1.44,1.05,-26.93,
81,AMH,American Homes 4 Rent,NYSE,Consumer Services,Real Estate Investment Trusts,0.2,1600041600,,,3,0,1,2020-08-05,0.03,0.05,+78.57,2020-11-05
82,ARL,"American Realty Investors, Inc.",NYSE,Finance,Real Estate,,,,,0,0,0,2020-08-14,-,-,-,
83,AMT,American Tower Corporation (REIT),NYSE,Consumer Services,Real Estate Investment Trusts,4.33,1600992000,,,3,0,2,2020-07-29,1.03,1,-3.38,2020-10-29
84,AVD,American Vanguard Corporation,NYSE,Basic Industries,Agricultural Chemicals,,1585094400,,,0,0,0,2020-08-05,0.11,0.13,+18.18,
85,AWK,American Water Works,NYSE,Public Utilities,Water Supply,2.2,1597104000,,,0,1,1,2020-08-04,0.96,0.97,+0.83,2020-10-28
86,COLD,Americold Realty Trust,NYSE,Consumer Services,Real Estate Investment Trusts,0.84,1601337600,,,2,0,0,2020-08-05,0.14,0.16,+11.89,2020-11-05
87,AMP,"AMERIPRISE FINANCIAL SERVICES, LLC",NYSE,Finance,Investment Managers,4.16,1596758400,,,4,0,2,2020-07-28,2.46,2.64,+7.27,2020-10-21
88,ABC,AmerisourceBergen Corporation (Holding Co),NYSE,Health Care,Other Pharmaceuticals,1.68,1597363200,,,2,1,2,2020-08-04,1.57,1.85,+17.76,2020-11-05
89,AMN,AMN Healthcare Services Inc,NYSE,Technology,Professional Services,,,,,4,0,1,2020-08-05,0.64,0.83,+30.3,2020-10-29
90,AMRX,"Amneal Pharmaceuticals, Inc.",NYSE,Health Care,Major Pharmaceuticals,,,,,1,0,2,2020-08-05,0.1,0.13,+34.02,
91,AP,Ampco-Pittsburgh Corporation,NYSE,Capital Goods,Fluid Controls,,1491868800,,,0,0,0,2020-08-04,-0.48,0.05,+110.42,
